CCAA,fecha,casos,IA,UCI,muertes
Andalucía,13.03.2020,219,2.53,8,0
Aragón,13.03.2020,80,6.06,3,7
Asturias,13.03.2020,67,6.55,2,1
Baleares,13.03.2020,30,2.52,2,1
Canarias,13.03.2020,70,2.97,2,0
Cantabria,13.03.2020,29,4.99,0,0
Castilla-LaMancha,13.03.2020,194,9.54,10,5
CastillayLeón,13.03.2020,169,6.96,8,1
Cataluña,13.03.2020,316,4.08,25,4
Ceuta,13.03.2020,0,0.00,0,0
C.Valenciana,13.03.2020,94,1.72,2,1
Extremadura,13.03.2020,39,3.65,1,1
Galicia,13.03.2020,85,3.15,2,0
Madrid,13.03.2020,1990,29.79,180,81
Melilla,13.03.2020,2,2.31,0,0
Murcia,13.03.2020,35,2.34,1,0
Navarra,13.03.2020,130,19.87,4,0
PaísVasco,13.03.2020,417,18.89,20,14
LaRioja,13.03.2020,243,76.71,2,2
