age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,18.04.2020,448,165,0.3,19,0.4,1,0.0,0.2,448,165,0.3,19,0.4,1,0.0,0.2,448,165,0.3,19,0.4,1,0.0,0.2
10-19,18.04.2020,757,159,0.3,8,0.1,2,0.0,0.3,757,159,0.3,8,0.1,2,0.0,0.3,757,159,0.3,8,0.1,2,0.0,0.3
20-29,18.04.2020,6926,990,1.6,54,1.0,20,0.2,0.3,6926,990,1.6,54,1.0,20,0.2,0.3,6926,990,1.6,54,1.0,20,0.2,0.3
30-39,18.04.2020,12788,2588,4.1,183,3.4,37,0.3,0.3,12788,2588,4.1,183,3.4,37,0.3,0.3,12788,2588,4.1,183,3.4,37,0.3,0.3
40-49,18.04.2020,20037,5965,9.5,478,9.0,121,1.1,0.6,20037,5965,9.5,478,9.0,121,1.1,0.6,20037,5965,9.5,478,9.0,121,1.1,0.6
50-59,18.04.2020,25072,9730,15.5,1034,19.4,322,2.9,1.3,25072,9730,15.5,1034,19.4,322,2.9,1.3,25072,9730,15.5,1034,19.4,322,2.9,1.3
60-69,18.04.2020,21724,12484,19.9,1729,32.4,987,8.8,4.5,21724,12484,19.9,1729,32.4,987,8.8,4.5,21724,12484,19.9,1729,32.4,987,8.8,4.5
70-79,18.04.2020,20801,14987,23.9,1636,30.7,2955,26.3,14.2,20801,14987,23.9,1636,30.7,2955,26.3,14.2,20801,14987,23.9,1636,30.7,2955,26.3,14.2
80-89,18.04.2020,20137,12207,19.4,177,3.3,4726,42.1,23.5,20137,12207,19.4,177,3.3,4726,42.1,23.5,20137,12207,19.4,177,3.3,4726,42.1,23.5
90+,18.04.2020,8268,3490,5.6,18,0.3,2049,18.3,24.8,8268,3490,5.6,18,0.3,2049,18.3,24.8,8268,3490,5.6,18,0.3,2049,18.3,24.8
