age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,18.05.2020,877,279,0.3,39,0.5,2,0.0,0.2,877,279,0.3,39,0.5,2,0.0,0.2,877,279,0.3,39,0.5,2,0.0,0.2
10-19,18.05.2020,1637,277,0.3,23,0.3,5,0.0,0.3,1637,277,0.3,23,0.3,5,0.0,0.3,1637,277,0.3,23,0.3,5,0.0,0.3
20-29,18.05.2020,13461,1477,1.6,89,1.1,23,0.1,0.2,13461,1477,1.6,89,1.1,23,0.1,0.2,13461,1477,1.6,89,1.1,23,0.1,0.2
30-39,18.05.2020,22639,3811,4.2,274,3.5,63,0.3,0.3,22639,3811,4.2,274,3.5,63,0.3,0.3,22639,3811,4.2,274,3.5,63,0.3,0.3
40-49,18.05.2020,35135,8666,9.4,740,9.4,201,1.0,0.6,35135,8666,9.4,740,9.4,201,1.0,0.6,35135,8666,9.4,740,9.4,201,1.0,0.6
50-59,18.05.2020,42794,14075,15.3,1562,19.7,611,3.2,1.4,42794,14075,15.3,1562,19.7,611,3.2,1.4,42794,14075,15.3,1562,19.7,611,3.2,1.4
60-69,18.05.2020,34360,17264,18.8,2534,32.0,1695,8.8,4.9,34360,17264,18.8,2534,32.0,1695,8.8,4.9,34360,17264,18.8,2534,32.0,1695,8.8,4.9
70-79,18.05.2020,32443,20794,22.6,2261,28.6,4632,24.1,14.3,32443,20794,22.6,2261,28.6,4632,24.1,14.3,32443,20794,22.6,2261,28.6,4632,24.1,14.3
80-89,18.05.2020,37463,18842,20.5,332,4.2,7872,41.0,21.0,37463,18842,20.5,332,4.2,7872,41.0,21.0,37463,18842,20.5,332,4.2,7872,41.0,21.0
90+,18.05.2020,18316,6346,6.9,56,0.7,4082,21.3,22.3,18316,6346,6.9,56,0.7,4082,21.3,22.3,18316,6346,6.9,56,0.7,4082,21.3,22.3
