CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos,curados,curadosNuevos
Andalucía,01.05.2020,12161,113,0.9,17.70,5936,62,729,8,1238,31,6334,624
Aragón,01.05.2020,5116,25,0.5,47.53,2494,17,260,2,749,10,2382,91
Asturias,01.05.2020,2298,15,0.7,17.01,1938,23,140,3,273,0,860,25
Baleares,01.05.2020,1894,11,0.6,19.66,1090,8,167,0,193,5,1245,26
Canarias,01.05.2020,2206,1,0.0,9.15,914,5,176,0,136,1,1151,20
Cantabria,01.05.2020,2184,11,0.5,69.01,1009,2,79,0,192,1,1509,26
CastillaLaMancha,01.05.2020,15910,78,0.5,95.92,8618,51,596,4,2498,35,5615,103
CastillayLeón,01.05.2020,16993,108,0.6,127.82,8010,53,531,3,1770,18,6686,117
Cataluña,01.05.2020,49307,391,0.8,143.20,26932,169,2795,11,5061,86,19640,25
Ceuta,01.05.2020,101,0,0.0,12.98,10,0,4,0,4,0,138,12
CValenciana,01.05.2020,10347,16,0.2,17.21,5126,30,694,31,1245,9,7078,192
Extremadura,01.05.2020,2811,26,0.9,14.52,1565,15,108,0,451,5,1960,73
Galicia,01.05.2020,8848,151,1.7,60.23,2759,12,313,3,555,8,5816,243
Madrid,01.05.2020,61829,52,0.1,83.97,40293,217,3392,15,8222,46,37154,447
Melilla,01.05.2020,115,1,0.9,12.72,44,0,3,0,2,0,96,0
Murcia,01.05.2020,1488,2,0.1,4.35,638,1,109,1,132,2,1229,27
Navarra,01.05.2020,4848,33,0.7,95.08,1977,12,132,0,458,7,2185,72
PaísVasco,01.05.2020,12824,123,1.0,69.62,6607,46,544,3,1312,16,11380,444
LaRioja,01.05.2020,3936,18,0.5,122.79,1433,9,88,0,333,1,2220,61
