CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos
Andalucía,14.05.2020,12359,42,0.34,4.87,6128,14,751,1,1336,4
Aragón,14.05.2020,5389,17,0.32,22.59,2625,11,265,0,836,7
Asturias,14.05.2020,2356,0,0.00,4.89,2252,13,151,0,308,1
Baleares,14.05.2020,1958,1,0.05,6.52,1131,0,171,0,216,1
Canarias,14.05.2020,2275,4,0.18,3.25,937,0,178,0,151,0
Cantabria,14.05.2020,2256,0,0.00,14.28,1030,1,79,0,205,0
CastillaLaMancha,14.05.2020,16470,17,0.10,31.38,8980,17,634,2,2852,17
CastillayLeón,14.05.2020,18173,68,0.38,53.68,8560,43,548,1,1925,6
Cataluña,14.05.2020,55482,195,0.35,50.17,29305,38,3048,14,5823,131
Ceuta,14.05.2020,116,2,1.75,17.69,11,0,4,0,4,0
CValenciana,14.05.2020,10784,24,0.22,9.05,5389,19,717,0,1349,8
Extremadura,14.05.2020,2923,4,0.14,12.92,1761,7,109,0,492,3
Galicia,14.05.2020,9317,16,0.17,22.97,2915,10,327,0,601,4
Madrid,14.05.2020,65693,88,0.13,38.84,41962,106,3564,9,8779,19
Melilla,14.05.2020,119,0,0.00,5.78,44,0,3,0,2,0
Murcia,14.05.2020,1532,7,0.46,3.08,672,6,112,0,142,0
Navarra,14.05.2020,5105,11,0.22,44.33,2045,3,135,0,498,4
PaísVasco,14.05.2020,13219,5,0.04,23.46,6994,39,577,2,1454,12
LaRioja,14.05.2020,4014,5,0.12,30.30,1484,3,91,0,348,0
