CCAA,fecha,casos,IA,UCI,muertes
Andalucía,15.03.2020,437,,,6
Aragón,15.03.2020,147,,,7
Asturias,15.03.2020,137,,,1
Baleares,15.03.2020,28,,,1
Canarias,15.03.2020,109,,,1
Cantabria,15.03.2020,51,,,0
Castilla-LaMancha,15.03.2020,401,,,10
CastillayLeón,15.03.2020,292,,,6
Cataluña,15.03.2020,715,,,8
Ceuta,15.03.2020,1,,,0
C.Valenciana,15.03.2020,409,,,5
Extremadura,15.03.2020,95,,,2
Galicia,15.03.2020,195,,,2
Madrid,15.03.2020,3544,,,213
Melilla,15.03.2020,8,,,0
Murcia,15.03.2020,71,,,0
Navarra,15.03.2020,183,,,0
PaísVasco,15.03.2020,630,,,23
LaRioja,15.03.2020,300,,,3
