CCAA,fecha,casos,nuevos,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos,curados,curadosNuevos,PCR,testrap
Andalucía,16.04.2020,10807,212,45.58,5226,79,671,6,912,47,2634,410,10592,215
Aragón,16.04.2020,4566,228,141.44,2108,102,291,9,543,29,1087,75,4411,155
Asturias,16.04.2020,2170,74,76.85,1432,45,116,2,168,2,522,35,2081,89
Baleares,16.04.2020,1637,31,37.67,872,15,152,3,131,6,918,37,,
Canarias,16.04.2020,1988,13,25.26,802,21,156,4,107,3,673,51,1988,
Cantabria,16.04.2020,1845,22,99.30,890,17,77,1,137,5,442,79,,
CastillaLaMancha,16.04.2020,15151,471,367.41,7987,91,503,8,1796,41,3378,380,,
CastillayLeón,16.04.2020,14380,683,292.76,6449,143,307,,1372,35,4725,204,,
Cataluña,16.04.2020,37354,849,202.60,23680,308,2798,9,3855,99,17297,646,,
Ceuta,16.04.2020,100,2,53.08,9,0,4,0,4,0,41,11,98,2
CValenciana,16.04.2020,9615,191,66.09,4524,59,625,37,972,27,3702,342,,
Extremadura,16.04.2020,2881,119,97.78,1186,31,110,1,359,17,649,34,2581,300
Galicia,16.04.2020,7873,165,112.28,2494,23,123,,310,11,1383,85,,
Madrid,16.04.2020,50694,1168,278.22,9653,,1206,,6877,153,28491,1058,,
Melilla,16.04.2020,103,1,47.41,43,0,3,0,2,0,27,3,103,
Murcia,16.04.2020,1598,78,34.41,575,1,97,0,111,2,516,3,1424,174
Navarra,16.04.2020,4348,102,254.66,1752,21,124,0,261,9,845,37,,
PaísVasco,16.04.2020,11790,315,202.60,5863,113,478,7,956,54,5813,385,,
