CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos
Andalucía,16.05.2020,12420,19,0.15,3.74,6161,15,758,4,1355,11
Aragón,16.05.2020,5456,24,0.44,24.26,2648,11,266,0,838,1
Asturias,16.05.2020,2366,7,0.30,5.38,2290,22,152,0,313,3
Baleares,16.05.2020,1982,17,0.87,7.13,1134,0,169,0,216,0
Canarias,16.05.2020,2284,4,0.18,3.34,939,1,178,0,151,0
Cantabria,16.05.2020,2265,2,0.09,11.01,1032,1,79,0,206,0
CastillaLaMancha,16.05.2020,16587,74,0.45,30.50,9027,26,636,1,2883,13
CastillayLeón,16.05.2020,18369,97,0.53,50.18,8649,54,549,1,1940,10
Cataluña,16.05.2020,55685,123,0.22,40.65,29339,0,3049,0,5915,33
Ceuta,16.05.2020,116,0,0.00,17.69,11,0,4,0,4,0
CValenciana,16.05.2020,10850,37,0.34,8.77,5435,20,722,1,1365,7
Extremadura,16.05.2020,2958,25,0.85,12.55,1772,0,109,0,497,3
Galicia,16.05.2020,9041,5,0.06,8.78,2590,3,295,0,604,1
Madrid,16.05.2020,66210,38,0.06,38.69,42157,100,3577,3,8826,17
Melilla,16.05.2020,119,0,0.00,4.62,44,0,3,0,2,0
Murcia,16.05.2020,1542,8,0.52,3.41,676,1,112,0,144,1
Navarra,16.05.2020,5137,21,0.41,38.06,2045,0,136,0,501,1
PaísVasco,16.05.2020,13291,34,0.26,18.30,7011,2,578,0,1455,1
LaRioja,16.05.2020,4020,4,0.10,23.04,1490,2,91,0,348,0
