CCAA,fecha,casos,nuevos,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos,curados,curadosNuevos,PCR,testrap
Andalucía,17.04.2020,11053,246,43.72,5298,72,675,4,940,28,2790,156,10672,381
Aragón,17.04.2020,4664,98,134.54,2151,43,240,,562,19,1132,45,4489,175
Asturias,17.04.2020,2230,60,77.92,1474,42,118,2,174,6,545,23,2124,54
Baleares,17.04.2020,1668,31,35.76,905,33,152,0,134,3,938,20,,
Canarias,17.04.2020,2009,21,24.10,811,9,159,3,111,4,730,57,2009,
Cantabria,17.04.2020,1884,39,96.89,903,13,78,1,144,7,510,68,,
CastillaLaMancha,17.04.2020,15997,846,367.66,8018,31,511,8,1852,56,3600,222,,
CastillayLeón,17.04.2020,14903,523,292.89,6518,69,297,,1401,29,4924,199,,
Cataluña,17.04.2020,38316,962,193.56,21242,,2305,,3752,134,12787,826,,
Ceuta,17.04.2020,101,1,46.00,9,0,4,0,4,0,44,3,98,3
CValenciana,17.04.2020,9869,254,64.85,4605,81,632,7,999,27,4024,322,9486,297
Extremadura,17.04.2020,3019,138,105.46,1212,26,110,0,372,13,707,58,2656,363
Galicia,17.04.2020,8013,140,103.50,2535,41,117,,320,10,1456,73,,
Madrid,17.04.2020,51993,1299,267.21,9141,,1154,,7007,130,29436,945,,
Melilla,17.04.2020,104,1,39.31,44,,3,0,2,0,30,3,,
Murcia,17.04.2020,1625,27,32.13,585,10,99,2,112,1,545,29,1423,202
Navarra,17.04.2020,4433,85,244.11,1781,29,124,0,338,77,892,47,,
PaísVasco,17.04.2020,12089,299,193.04,5939,76,484,6,992,36,6144,331,,
LaRioja,17.04.2020,4098,182,591.54,1226,19,76,1,262,5,1729,75,3547,551
