CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,nuevos
Andalucía,21.03.2020,1515,17.68,605,53,40,228
Aragón,21.03.2020,424,31.30,192,33,22,64
Asturias,21.03.2020,486,47.03,133,12,5,142
Baleares,21.03.2020,246,20.88,60,14,4,43
Canarias,21.03.2020,348,15.65,139,29,7,61
Cantabria,21.03.2020,215,35.28,92,9,2,71
CastillaLaMancha,21.03.2020,1423,69.26,635,65,84,379
CastillayLeón,21.03.2020,1466,60.51,575,85,55,319
Cataluña,21.03.2020,4203,54.45,1681,298,122,933
Ceuta,21.03.2020,5,5.90,0,0,0,0
CValenciana,21.03.2020,1363,26.64,476,84,50,258
Extremadura,21.03.2020,354,32.59,65,6,12,57
Galicia,21.03.2020,739,27.26,168,29,9,161
Madrid,21.03.2020,8921,131.82,7388,767,804,1756
Melilla,21.03.2020,25,28.91,8,1,0,1
Murcia,21.03.2020,240,16.07,61,14,1,36
Navarra,21.03.2020,664,101.04,222,25,9,110
PaísVasco,21.03.2020,1725,76.09,654,71,85,260
LaRioja,21.03.2020,564,165.72,128,17,15,67
