CCAA,fecha,casos,nuevos,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos,curados,curadosNuevos,PCR,testrap,postestrap,posTOTAL
Andalucía,21.04.2020,11447,124,31.85,5509,36,692,2,1017,4,3411,182,11139,308,242,11689
Aragón,21.04.2020,4938,52,112.86,2271,27,250,2,643,6,1182,4,4684,254,,4938
Asturias,21.04.2020,2365,17,67.07,1626,27,122,0,202,2,616,17,2192,173,,2365
Baleares,21.04.2020,1808,20,38.19,986,23,161,0,161,4,1005,0,1767,41,,1808
Canarias,21.04.2020,2085,18,16.72,837,11,164,1,120,1,878,65,2085,0,,2085
Cantabria,21.04.2020,2123,40,107.04,948,14,78,0,165,7,646,20,1998,125,,2123
CastillaLaMancha,21.04.2020,17045,249,293.58,8199,26,534,3,2075,54,4242,64,14936,2109,,17045
CastillayLeón,21.04.2020,16259,402,278.30,7174,94,503,2,1521,28,5429,63,14951,1308,,16259
Cataluña,21.04.2020,43112,1436,192.69,22796,421,2437,28,4152,143,14446,512,43112,0,,43112
Ceuta,21.04.2020,111,0,33.03,9,0,4,0,4,0,73,,101,10,4,115
CValenciana,21.04.2020,10084,66,52.78,4866,39,648,2,1089,10,4719,90,9750,334,315,10399
Extremadura,21.04.2020,3196,10,101.15,1327,21,112,0,397,8,921,63,2692,478,73,3269
Galicia,21.04.2020,8468,169,79.16,2652,43,101,,360,8,1588,40,8468,0,,8468
Madrid,21.04.2020,57997,1034,263.05,7930,,1076,,7460,109,32277,515,55325,2672,,57997
Melilla,21.04.2020,105,1,15.03,44,0,3,0,2,0,46,0,105,0,5,110
Murcia,21.04.2020,1681,35,26.64,614,2,104,1,120,3,702,40,1445,236,15,1696
Navarra,21.04.2020,4781,84,217.97,1877,21,128,0,397,12,1190,67,4475,306,50,4831
PaísVasco,21.04.2020,12810,182,171.62,6141,32,507,6,1103,22,7277,153,11607,1203,,12810
LaRioja,21.04.2020,3763,29,289.46,1297,15,81,2,294,9,1866,33,3684,79,720,4483
