CCAA,fecha,casos,nuevos,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos,curados,curadosNuevos,postestrap,posTOTAL
Andalucía,24.04.2020,11536,133,24.08,5675,59,714,12,1107,28,3992,145,959,12495
Aragón,24.04.2020,4867,34,78.53,2359,19,254,1,695,14,1781,101,428,5295
Asturias,24.04.2020,2234,5,42.53,1728,23,131,1,231,8,688,23,275,2509
Baleares,24.04.2020,1821,14,28.97,1040,18,166,,172,4,1081,34,57,1878
Canarias,24.04.2020,2140,27,13.10,868,13,169,0,128,7,1017,48,0,2140
Cantabria,24.04.2020,2084,61,73.14,978,13,78,0,178,5,913,63,189,2273
CastillaLaMancha,24.04.2020,15365,237,113.24,8342,38,553,7,2255,67,4782,205,2688,18053
CastillayLeón,24.04.2020,15692,182,191.29,7506,109,510,2,1612,30,5943,166,2084,17776
Cataluña,24.04.2020,45544,652,178.76,24130,483,2569,91,4393,50,16138,661,1027,46571
Ceuta,24.04.2020,100,0,10.62,10,1,4,0,4,0,84,8,25,125
CValenciana,24.04.2020,9939,70,32.14,4945,28,651,1,1147,23,5809,421,967,10906
Extremadura,24.04.2020,2718,3,36.15,1413,38,108,,411,4,1358,121,685,3403
Galicia,24.04.2020,8932,127,73.57,2707,13,87,,382,7,1730,54,-,8932
Madrid,24.04.2020,58191,1097,201.22,6601,,949,,7765,81,34212,567,3535,61726
Melilla,24.04.2020,107,1,13.87,44,0,3,0,2,0,61,6,9,116
Murcia,24.04.2020,1468,8,5.69,625,1,105,1,125,1,791,25,273,1741
Navarra,24.04.2020,4581,4,127.33,1915,8,129,0,417,8,1552,107,599,5180
PaísVasco,24.04.2020,11881,92,80.53,6315,55,518,2,1193,26,8459,323,1899,13780
LaRioja,24.04.2020,3790,49,225.38,1344,13,82,0,307,4,1964,27,1075,4865
