CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos,curados,curadosNuevos,postestrap,posAsintomaticos
Andalucía,25.04.2020,11703,167,1.4,23.66,5715,40,717,3,1131,24,4295,303,1121,504
Aragón,25.04.2020,4922,55,1.1,72.24,2372,13,255,1,709,14,1929,148,460,0
Asturias,25.04.2020,2238,4,0.2,40.18,1760,32,132,1,239,8,716,28,308,-
Baleares,25.04.2020,1847,26,1.4,29.58,1058,18,166,0,174,2,1102,21,60,0
Canarias,25.04.2020,2155,15,0.7,12.45,878,10,171,2,130,2,1036,19,0,-
Cantabria,25.04.2020,2071,16,0.8,60.58,982,4,78,0,182,4,1046,133,244,-
CastillaLaMancha,25.04.2020,15509,144,0.9,100.99,8385,43,559,6,2292,37,4876,94,3016,-
CastillayLeón,25.04.2020,15990,298,1.9,185.33,7555,49,511,1,1639,27,6033,90,2269,-
Cataluña,25.04.2020,46261,717,1.6,172.99,24130,0,2576,7,4498,105,16753,615,1027,-
Ceuta,25.04.2020,100,0,0.0,8.26,10,0,4,0,4,0,98,14,25,7
CValenciana,25.04.2020,10066,127,1.3,29.74,4978,33,653,2,1172,25,6033,224,1057,71
Extremadura,25.04.2020,2718,0,0.0,21.73,1447,34,107,0,416,5,1510,152,740,210
Galicia,25.04.2020,9116,184,2.1,71.87,2722,15,90,,388,6,1783,53,-,-
Madrid,25.04.2020,58819,628,1.1,194.65,6183,,892,,7848,83,34902,690,3691,0
Melilla,25.04.2020,108,1,0.9,11.56,44,0,3,0,2,0,77,16,10,10
Murcia,25.04.2020,1468,0,0.0,3.68,625,0,105,0,126,1,842,51,288,22
Navarra,25.04.2020,4627,46,1.0,123.81,1937,22,129,0,429,12,1737,185,647,104
PaísVasco,25.04.2020,12366,485,4.1,83.84,6375,60,525,7,1212,19,8941,482,1766,-
LaRioja,25.04.2020,3821,31,0.8,188.76,1360,16,83,1,311,4,1999,35,1125,1013
