CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,31.03.2020,5818,61.03,2867,235,248,160,413
Aragón,31.03.2020,2272,156.52,1176,165,138,204,194
Asturias,31.03.2020,1236,101.97,529,65,55,90,78
Baleares,31.03.2020,1069,85.00,399,85,42,111,69
Canarias,31.03.2020,1262,51.73,483,94,55,57,58
Cantabria,31.03.2020,1171,191.54,522,50,37,35,71
CastillaLaMancha,31.03.2020,6424,288.12,3225,344,708,296,566
CastillayLeón,31.03.2020,6211,240.88,2601,325,516,1028,410
Cataluña,31.03.2020,18773,226.43,12974,1652,1672,4966,2616
Ceuta,31.03.2020,34,38.93,3,3,1,0,9
CValenciana,31.03.2020,5508,99.27,2189,356,339,200,398
Extremadura,31.03.2020,1628,138.15,371,51,133,91,68
Galicia,31.03.2020,4039,138.80,1250,149,84,187,316
Madrid,31.03.2020,27509,339.74,15140,1514,3603,9330,3419
Melilla,31.03.2020,54,42.78,27,3,1,0,3
Murcia,31.03.2020,974,58.71,283,59,34,20,35
Navarra,31.03.2020,2305,304.49,1035,99,113,192,159
PaísVasco,31.03.2020,6320,251.61,3594,307,325,1796,263
LaRioja,31.03.2020,1810,459.28,575,51,85,496,77
