CCAA,fecha,casos,IA
Andalucía,3.03.2020,13,0.15
Aragón,3.03.2020,0,0.00
Asturias,3.03.2020,1,0.10
Baleares,3.03.2020,2,0.17
Canarias,3.03.2020,7,0.33
Cantabria,3.03.2020,10,1.72
Castilla-LaMancha,3.03.2020,7,0.34
CastillayLeón,3.03.2020,8,0.33
Cataluña,3.03.2020,15,0.20
Ceuta,3.03.2020,0,0.00
CValenciana,3.03.2020,15,0.30
Extremadura,3.03.2020,6,0.56
Galicia,3.03.2020,0,0.00
Madrid,3.03.2020,49,0.74
Melilla,3.03.2020,0,0.00
Murcia,3.03.2020,0,0.00
Navarra,3.03.2020,1,0.15
PaísVasco,3.03.2020,13,0.59
LaRioja,3.03.2020,3,0.95
