CCAA,fecha,casos,IA,UCI
Andalucía,4.03.2020,13,0.15,1
Aragón,4.03.2020,0,0.00,
Asturias,4.03.2020,2,0.20,1
Baleares,4.03.2020,5,0.43,
Canarias,4.03.2020,7,0.33,
Cantabria,4.03.2020,10,1.72,
CastillaLaMancha,4.03.2020,12,0.59,1
CastillayLeón,4.03.2020,11,0.46,1
Cataluña,4.03.2020,15,0.20,
Ceuta,4.03.2020,0,0.00,
C.Valenciana,4.03.2020,19,0.38,
1,4.03.2020,,,
Extremadura,4.03.2020,6,0.56,
Galicia,4.03.2020,1,0.04,
Madrid,4.03.2020,70,1.05,2
Melilla,4.03.2020,0,0.00,
Murcia,4.03.2020,0,0.00,
Navarra,4.03.2020,3,0.46,1
PaísVasco,4.03.2020,17,0.77,
LaRioja,4.03.2020,7,2.21,
