CCAA,fecha,casos,IA,UCI,muertes
Andalucía,6.03.2020,21,0.25,1,0
Aragón,6.03.2020,6,0.45,1,1
Asturias,6.03.2020,5,0.49,2,0
Baleares,6.03.2020,6,0.52,0,0
Canarias,6.03.2020,11,0.51,0,0
Cantabria,6.03.2020,10,1.72,0,0
CastillaLaMancha,6.03.2020,15,0.74,1,0
CastillayLeón,6.03.2020,14,0.58,1,0
Cataluña,6.03.2020,24,0.31,0,0
Ceuta,6.03.2020,0,0.00,0,0
CValenciana,6.03.2020,30,0.60,1,1
Extremadura,6.03.2020,6,0.56,0,0
Galicia,6.03.2020,3,0.11,0,0
Madrid,6.03.2020,137,2.06,2,2
Melilla,6.03.2020,0,0.00,0,0
Murcia,6.03.2020,0,0.00,0,0
Navarra,6.03.2020,3,0.46,1,0
PaísVasco,6.03.2020,45,2.04,1,1
LaRioja,6.03.2020,29,9.15,0,0
