CCAA,fecha,casos,IA,UCI,muertes
Andalucía,2020-03-02,12.0,,,
Andalucía,2020-03-03,13.0,0.15,,
Andalucía,2020-03-04,13.0,0.15,1.0,
Andalucía,2020-03-05,12.0,0.14,1.0,0.0
Andalucía,2020-03-06,21.0,0.25,1.0,0.0
Andalucía,2020-03-07,32.0,0.38,1.0,0.0
Andalucía,2020-03-08,43.0,0.51,1.0,0.0
Andalucía,2020-03-09,54.0,0.64,1.0,0.0
Andalucía,2020-03-10,71.0,0.84,1.0,0.0
Andalucía,2020-03-11,90.0,1.07,3.0,0.0
Andalucía,2020-03-12,115.0,1.35,4.0,0.0
Andalucía,2020-03-13,219.0,2.53,8.0,0.0
Andalucía,2020-03-14,269.0,3.83,9.0,2.0
Andalucía,2020-03-15,437.0,5.14,10.0,6.0
Andalucía,2020-03-16,554.0,6.44,11.0,7.0
Andalucía,2020-03-17,683.0,7.97,13.0,11.0
Andalucía,2020-03-18,859.0,10.07,21.0,19.0
Andalucía,2020-03-19,1008.0,11.84,25.0,23.0
Aragón,2020-03-02,0.0,,,
Aragón,2020-03-03,0.0,0.0,,
Aragón,2020-03-04,0.0,0.0,,
Aragón,2020-03-05,1.0,0.08,1.0,0.0
Aragón,2020-03-06,6.0,0.45,1.0,1.0
Aragón,2020-03-07,8.0,0.63,1.0,1.0
Aragón,2020-03-08,11.0,0.81,1.0,1.0
Aragón,2020-03-09,13.0,0.99,1.0,1.0
Aragón,2020-03-10,38.0,2.88,3.0,3.0
Aragón,2020-03-11,45.0,3.41,3.0,4.0
Aragón,2020-03-12,64.0,4.85,3.0,6.0
Aragón,2020-03-13,80.0,6.06,3.0,7.0
Aragón,2020-03-14,80.0,8.44,4.0,7.0
Aragón,2020-03-15,147.0,10.81,6.0,7.0
Aragón,2020-03-16,174.0,13.19,7.0,11.0
Aragón,2020-03-17,207.0,15.69,9.0,12.0
Aragón,2020-03-18,226.0,17.13,9.0,13.0
Aragón,2020-03-19,281.0,21.22,14.0,15.0
Asturias,2020-03-02,1.0,,,
Asturias,2020-03-03,1.0,0.1,,
Asturias,2020-03-04,2.0,0.2,1.0,
Asturias,2020-03-05,5.0,0.49,2.0,0.0
Asturias,2020-03-06,5.0,0.49,2.0,0.0
Asturias,2020-03-07,6.0,0.55,2.0,0.0
Asturias,2020-03-08,6.0,0.62,2.0,0.0
Asturias,2020-03-09,7.0,0.68,2.0,0.0
Asturias,2020-03-10,22.0,2.15,2.0,0.0
Asturias,2020-03-11,32.0,3.13,2.0,0.0
Asturias,2020-03-12,47.0,4.6,2.0,1.0
Asturias,2020-03-13,67.0,6.55,2.0,1.0
Asturias,2020-03-14,92.0,10.1,2.0,1.0
Asturias,2020-03-15,137.0,13.66,3.0,1.0
Asturias,2020-03-16,177.0,17.21,3.0,1.0
Asturias,2020-03-17,193.0,18.77,5.0,1.0
Asturias,2020-03-18,242.0,23.46,5.0,1.0
Asturias,2020-03-19,292.0,28.06,6.0,1.0
Baleares,2020-03-02,2.0,,,
Baleares,2020-03-03,2.0,0.17,,
Baleares,2020-03-04,5.0,0.43,,
Baleares,2020-03-05,6.0,0.52,0.0,0.0
Baleares,2020-03-06,6.0,0.52,0.0,0.0
Baleares,2020-03-07,8.0,0.67,0.0,0.0
