CCAA,fecha,casos,IA,UCI,muertes,nuevos,Hospitalizados,HospitalizadosNuevos,UCINuevos,muertesNuevos,curados,curadosNuevos,postestrap,posTOTAL,PCR,testrap
Andalucía,2020-03-02,12.0,,,,,,,,,,,,,,
Andalucía,2020-03-03,13.0,0.15,,,1,,,,,,,,,,
Andalucía,2020-03-04,13.0,0.15,1.0,,0,,,,,,,,,,
Andalucía,2020-03-05,12.0,0.14,1.0,0.0,-1,,,0.0,,,,,,,
Andalucía,2020-03-06,21.0,0.25,1.0,0.0,9,,,0.0,0.0,,,,,,
Andalucía,2020-03-07,32.0,0.0,,,17.0,,,,,,,,,,
Andalucía,2020-03-08,43.0,1.0,,,25.0,,,,,,,,,,
Andalucía,2020-03-09,54.0,0.64,1.0,0.0,33,,,0.0,0.0,,,,,,
Andalucía,2020-03-10,71.0,0.84,1.0,0.0,17,,,0.0,0.0,,,,,,
Andalucía,2020-03-11,90.0,1.07,3.0,0.0,19,,,2.0,0.0,,,,,,
Andalucía,2020-03-12,115.0,1.35,4.0,0.0,25,,,1.0,0.0,,,,,,
Andalucía,2020-03-13,219.0,2.53,8.0,0.0,104,,,4.0,0.0,,,,,,
Andalucía,2020-03-14,269.0,3.83,9.0,2.0,50,,,,2.0,,,,,,
Andalucía,2020-03-15,437.0,5.14,10.0,6.0,168,,,,4.0,,,,,,
Andalucía,2020-03-16,554.0,6.44,11.0,7.0,117,,,,1.0,,,,,,
Andalucía,2020-03-17,683.0,7.97,13.0,11.0,129,,,2.0,4.0,,,,,,
Andalucía,2020-03-18,859.0,10.07,21.0,19.0,176,,,8.0,8.0,,,,,,
Andalucía,2020-03-19,1008.0,11.84,25.0,23.0,149,,,4.0,4.0,,,,,,
Andalucía,2020-03-20,1287.0,15.05,38.0,30.0,279,,,13.0,7.0,,,,,,
Andalucía,2020-03-21,1515.0,17.68,53.0,40.0,228,605,,15.0,10.0,,,,,,
Andalucía,2020-03-22,1725.0,20.1,55.0,47.0,210,724,119,2.0,7.0,,,,,,
Andalucía,2020-03-23,1961.0,22.66,77.0,58.0,236,865,141,22.0,11.0,50,,,,,
Andalucía,2020-03-24,2471.0,28.52,102.0,87.0,510,1132,267,25.0,29.0,66,16,,,,
Andalucía,2020-03-25,3010.0,34.57,116.0,113.0,539,1433,301,14.0,26.0,71,5,,,,
Andalucía,2020-03-26,3406.0,38.96,134.0,134.0,396,1626,193,18.0,21.0,77,6,,,,
Andalucía,2020-03-27,3793.0,42.48,148.0,144.0,387,1843,217,14.0,10.0,92,15,,,,
Andalucía,2020-03-28,4277.0,47.63,172.0,175.0,484,2106,263,24.0,31.0,139,47,,,,
Andalucía,2020-03-29,4682.0,50.45,201.0,207.0,405,2294,188,29.0,32.0,148,9,,,,
Andalucía,2020-03-30,5405.0,57.65,216.0,236.0,723,2671,377,15.0,29.0,155,7,,,,
Andalucía,2020-03-31,5818.0,61.03,235.0,248.0,413,2867,196,19.0,12.0,160,5,,,,
Andalucía,2020-04-01,6392.0,65.76,260.0,308.0,574,3147,280,25.0,60.0,182,22,,,,
Andalucía,2020-04-02,6972.0,70.88,280.0,343.0,580,3444,297,20.0,35.0,228,46,,,,
Andalucía,2020-04-03,7374.0,72.34,338.0,376.0,402,3673,229,58.0,33.0,258,30,,,,
Andalucía,2020-04-04,7869.0,75.51,364.0,426.0,495,3896,223,26.0,50.0,463,205,,,,
Andalucía,2020-04-05,8301.0,78.15,474.0,470.0,432,4107,211,110.0,44.0,665,202,,,,
Andalucía,2020-04-06,8581.0,78.68,489.0,491.0,280,4227,120,15.0,21.0,798,133,,,,
Andalucía,2020-04-07,8767.0,74.83,499.0,528.0,186,4335,108,10.0,37.0,900,102,,,,
Andalucía,2020-04-08,8997.0,71.15,520.0,605.0,230,4463,128,21.0,77.0,1041,141,,,,
Andalucía,2020-04-09,9261.0,69.58,538.0,652.0,264,4599,136,18.0,47.0,1193,152,,,,
Andalucía,2020-04-10,9510.0,67.94,582.0,691.0,249,4715,116,44.0,39.0,1437,244,,,,
Andalucía,2020-04-11,9712.0,64.59,602.0,737.0,202,4808,93,20.0,46.0,1630,193,,,,
Andalucía,2020-04-12,10006.0,63.27,619.0,799.0,294,4950,142,17.0,62.0,1838,208,,,,
Andalucía,2020-04-13,10187.0,56.83,621.0,815.0,181,4993,43,2.0,16.0,1967,129,,,,
Andalucía,2020-04-14,10192.0,51.98,631.0,836.0,5,5054,61,10.0,21.0,2032,65,,,,
Andalucía,2020-04-15,10595.0,49.95,665.0,865.0,403,5147,93,34.0,29.0,2224,192,,,,
Andalucía,2020-04-16,10807.0,45.58,671.0,912.0,212,5226,79,6.0,47.0,2634,410,,,10592.0,215.0
Andalucía,2020-04-17,11053.0,43.72,675.0,940.0,246,5298,72,4.0,28.0,2790,156,,,10672.0,381.0
Andalucía,2020-04-18,11020.0,43.72,677.0,967.0,-33,5341,43,2.0,27.0,2948,158,184.0,11204,10772.0,248.0
Andalucía,2020-04-19,11205.0,34.51,687.0,993.0,185,5424,83,10.0,26.0,3116.0,168.0,220.0,11425,10936.0,269.0
Andalucía,2020-04-20,11323.0,32.59,690.0,1013.0,118,5473,49,3.0,20.0,3229,113.0,232.0,11555,11030.0,293.0
Andalucía,2020-04-21,11447.0,31.85,692.0,1017.0,124,5509,36,2.0,4.0,3411,182,242.0,11689,11139.0,308.0
Andalucía,2020-04-22,11610.0,31.05,696.0,1050.0,163,5565,56,4.0,33.0,3569,158,311.0,11921,11270.0,340.0
Andalucía,2020-04-23,11845.0,30.71,702.0,1079.0,235,5616,51,6.0,29.0,3847,278,392,12237,11403.0,442.0
Andalucía,2020-04-24,11536.0,24.08,714.0,1107.0,-309,5675,59,12.0,28.0,3992,145,959,12495,,
Aragón,2020-03-02,0.0,,,,,,,,,,,,,,
Aragón,2020-03-03,0.0,0.0,,,0,,,,,,,,,,
Aragón,2020-03-04,0.0,0.0,,,0,,,,,,,,,,
Aragón,2020-03-05,1.0,0.08,1.0,0.0,1,,,,,,,,,,
Aragón,2020-03-06,6.0,0.45,1.0,1.0,5,,,0.0,1.0,,,,,,
Aragón,2020-03-07,8.0,1.0,,,5.67,,,,,,,,,,
Aragón,2020-03-08,11.0,1.0,,,6.33,,,,,,,,,,
Aragón,2020-03-09,13.0,0.99,1.0,1.0,7,,,0.0,0.0,,,,,,
Aragón,2020-03-10,38.0,2.88,3.0,3.0,25,,,2.0,2.0,,,,,,
Aragón,2020-03-11,45.0,3.41,3.0,4.0,7,,,0.0,1.0,,,,,,
Aragón,2020-03-12,64.0,4.85,3.0,6.0,19,,,0.0,2.0,,,,,,
Aragón,2020-03-13,80.0,6.06,3.0,7.0,16,,,0.0,1.0,,,,,,
Aragón,2020-03-14,80.0,8.44,4.0,7.0,0,,,,0.0,,,,,,
Aragón,2020-03-15,147.0,10.81,6.0,7.0,67,,,,0.0,,,,,,
