Comunidades,Edad (grupos quinquenales),Año,Total
España,0-4 años,2019,2038663
España,5-9 años,2019,2355494
España,10-14 años,2019,2491371
España,15-19 años,2019,2322446
España,20-24 años,2019,2305303
España,25-29 años,2019,2566361
España,30-34 años,2019,2860390
España,35-39 años,2019,3492600
España,40-44 años,2019,4013566
España,45-49 años,2019,3818921
España,50-54 años,2019,3637840
España,55-59 años,2019,3266949
España,60-64 años,2019,2799111
España,65-69 años,2019,2398795
España,70-74 años,2019,2175840
España,75-79 años,2019,1618039
España,80-84 años,2019,1353814
España,85-89 años,2019,975247
España,90-94 años,2019,415548
España,95-99 años,2019,103607
España,100 años y más,2019,16303
Andalucía,0-4 años,2019,385011
Andalucía,5-9 años,2019,448571
Andalucía,10-14 años,2019,489369
Andalucía,15-19 años,2019,448704
Andalucía,20-24 años,2019,442090
Andalucía,25-29 años,2019,489979
Andalucía,30-34 años,2019,530177
Andalucía,35-39 años,2019,635716
Andalucía,40-44 años,2019,703951
Andalucía,45-49 años,2019,673613
Andalucía,50-54 años,2019,661057
Andalucía,55-59 años,2019,580203
Andalucía,60-64 años,2019,485697
Andalucía,65-69 años,2019,400107
Andalucía,70-74 años,2019,360021
Andalucía,75-79 años,2019,267669
Andalucía,80-84 años,2019,208695
Andalucía,85-89 años,2019,138644
Andalucía,90-94 años,2019,51101
Andalucía,95-99 años,2019,11459
Andalucía,100 años y más,2019,2406
Aragón,0-4 años,2019,55735
Aragón,5-9 años,2019,63300
Aragón,10-14 años,2019,65507
Aragón,15-19 años,2019,61725
Aragón,20-24 años,2019,62145
Aragón,25-29 años,2019,66122
Aragón,30-34 años,2019,75589
Aragón,35-39 años,2019,91929
Aragón,40-44 años,2019,108647
Aragón,45-49 años,2019,104834
Aragón,50-54 años,2019,101336
Aragón,55-59 años,2019,94610
Aragón,60-64 años,2019,82212
Aragón,65-69 años,2019,70434
Aragón,70-74 años,2019,64746
Aragón,75-79 años,2019,49567
Aragón,80-84 años,2019,44209
Aragón,85-89 años,2019,35708
Aragón,90-94 años,2019,16077
Aragón,95-99 años,2019,4291
Aragón,100 años y más,2019,568
Asturias,0-4 años,2019,31605
Asturias,5-9 años,2019,38908
Asturias,10-14 años,2019,40960
Asturias,15-19 años,2019,38555
Asturias,20-24 años,2019,38067
Asturias,25-29 años,2019,41767
Asturias,30-34 años,2019,51964
Asturias,35-39 años,2019,68690
Asturias,40-44 años,2019,85172
Asturias,45-49 años,2019,82360
Asturias,50-54 años,2019,81167
Asturias,55-59 años,2019,82152
Asturias,60-64 años,2019,78440
Asturias,65-69 años,2019,68958
Asturias,70-74 años,2019,62030
Asturias,75-79 años,2019,42175
Asturias,80-84 años,2019,39992
Asturias,85-89 años,2019,31763
Asturias,90-94 años,2019,14037
Asturias,95-99 años,2019,3526
Asturias,100 años y más,2019,512
Baleares,0-4 años,2019,53523
Baleares,5-9 años,2019,58930
Baleares,10-14 años,2019,61044
Baleares,15-19 años,2019,56964
Baleares,20-24 años,2019,60047
Baleares,25-29 años,2019,74088
Baleares,30-34 años,2019,84297
Baleares,35-39 años,2019,97750
Baleares,40-44 años,2019,104847
Baleares,45-49 años,2019,97022
